861             800          
9.000000      29.000000     0.580000       
9.000000      30.000000     0.600000       
9.000000      31.000000     0.620000       
9.000000      32.000000     0.640000       
9.000000      33.000000     0.660000       
9.000000      34.000000     0.680000       
9.000000      35.000000     0.700000       
9.000000      36.000000     0.720000       
9.000000      37.000000     0.740000       
9.000000      38.000000     0.760000       
9.000000      39.000000     0.780000       
9.000000      40.000000     0.800000       
10.000000     0.000000      0.000000       
10.000000     1.000000      0.020000       
10.000000     2.000000      0.040000       
10.000000     3.000000      0.060000       
10.000000     4.000000      0.080000       
10.000000     5.000000      0.100000       
10.000000     6.000000      0.120000       
10.000000     7.000000      0.140000       
10.000000     8.000000      0.160000       
10.000000     9.000000      0.180000       
10.000000     10.000000     0.200000       
10.000000     11.000000     0.220000       
10.000000     12.000000     0.240000       
10.000000     13.000000     0.260000       
10.000000     14.000000     0.280000       
10.000000     15.000000     0.300000       
10.000000     16.000000     0.320000       
10.000000     17.000000     0.340000       
10.000000     18.000000     0.360000       
10.000000     19.000000     0.380000       
10.000000     20.000000     0.400000       
10.000000     21.000000     0.420000       
10.000000     22.000000     0.440000       
10.000000     23.000000     0.460000       
10.000000     24.000000     0.480000       
10.000000     25.000000     0.500000       
10.000000     26.000000     0.520000       
10.000000     27.000000     0.540000       
10.000000     28.000000     0.560000       
10.000000     29.000000     0.580000       
10.000000     30.000000     0.600000       
10.000000     31.000000     0.620000       
10.000000     32.000000     0.640000       
10.000000     33.000000     0.660000       
10.000000     34.000000     0.680000       
10.000000     35.000000     0.700000       
10.000000     36.000000     0.720000       
10.000000     37.000000     0.740000       
10.000000     38.000000     0.760000       
10.000000     39.000000     0.780000       
10.000000     40.000000     0.800000       
11.000000     0.000000      0.000000       
11.000000     1.000000      0.020000       
11.000000     2.000000      0.040000       
11.000000     3.000000      0.060000       
11.000000     4.000000      0.080000       
11.000000     5.000000      0.100000       
11.000000     6.000000      0.120000       
11.000000     7.000000      0.140000       
11.000000     8.000000      0.160000       
11.000000     9.000000      0.180000       
11.000000     10.000000     0.200000       
11.000000     11.000000     0.220000       
11.000000     12.000000     0.240000       
11.000000     13.000000     0.260000       
11.000000     14.000000     0.280000       
11.000000     15.000000     0.300000       
11.000000     16.000000     0.320000       
11.000000     17.000000     0.340000       
11.000000     18.000000     0.360000       
11.000000     19.000000     0.380000       
11.000000     20.000000     0.400000       
11.000000     21.000000     0.420000       
11.000000     22.000000     0.440000       
11.000000     23.000000     0.460000       
11.000000     24.000000     0.480000       
11.000000     25.000000     0.500000       
11.000000     26.000000     0.520000       
11.000000     27.000000     0.540000       
11.000000     28.000000     0.560000       
11.000000     29.000000     0.580000       
11.000000     30.000000     0.600000       
11.000000     31.000000     0.620000       
11.000000     32.000000     0.640000       
11.000000     33.000000     0.660000       
11.000000     34.000000     0.680000       
11.000000     35.000000     0.700000       
11.000000     36.000000     0.720000       
11.000000     37.000000     0.740000       
11.000000     38.000000     0.760000       
11.000000     39.000000     0.780000       
11.000000     40.000000     0.800000       
12.000000     0.000000      0.000000       
12.000000     1.000000      0.020000       
12.000000     2.000000      0.040000       
12.000000     3.000000      0.060000       
12.000000     4.000000      0.080000       
12.000000     5.000000      0.100000       
12.000000     6.000000      0.120000       
12.000000     7.000000      0.140000       
12.000000     8.000000      0.160000       
12.000000     9.000000      0.180000       
12.000000     10.000000     0.200000       
12.000000     11.000000     0.220000       
12.000000     12.000000     0.240000       
12.000000     13.000000     0.260000       
12.000000     14.000000     0.280000       
12.000000     15.000000     0.300000       
12.000000     16.000000     0.320000       
12.000000     17.000000     0.340000       
12.000000     18.000000     0.360000       
12.000000     19.000000     0.380000       
12.000000     20.000000     0.400000       
12.000000     21.000000     0.420000       
12.000000     22.000000     0.440000       
12.000000     23.000000     0.460000       
12.000000     24.000000     0.480000       
12.000000     25.000000     0.500000       
12.000000     26.000000     0.520000       
12.000000     27.000000     0.540000       
12.000000     28.000000     0.560000       
12.000000     29.000000     0.580000       
12.000000     30.000000     0.600000       
12.000000     31.000000     0.620000       
12.000000     32.000000     0.640000       
12.000000     33.000000     0.660000       
12.000000     34.000000     0.680000       
12.000000     35.000000     0.700000       
12.000000     36.000000     0.720000       
12.000000     37.000000     0.740000       
12.000000     38.000000     0.760000       
12.000000     39.000000     0.780000       
12.000000     40.000000     0.800000       
13.000000     0.000000      0.000000       
13.000000     1.000000      0.020000       
13.000000     2.000000      0.040000       
13.000000     3.000000      0.060000       
13.000000     4.000000      0.080000       
13.000000     5.000000      0.100000       
13.000000     6.000000      0.120000       
13.000000     7.000000      0.140000       
13.000000     8.000000      0.160000       
13.000000     9.000000      0.180000       
13.000000     10.000000     0.200000       
13.000000     11.000000     0.220000       
13.000000     12.000000     0.240000       
13.000000     13.000000     0.260000       
13.000000     14.000000     0.280000       
13.000000     15.000000     0.300000       
13.000000     16.000000     0.320000       
13.000000     17.000000     0.340000       
13.000000     18.000000     0.360000       
13.000000     19.000000     0.380000       
13.000000     20.000000     0.400000       
13.000000     21.000000     0.420000       
13.000000     22.000000     0.440000       
13.000000     23.000000     0.460000       
13.000000     24.000000     0.480000       
13.000000     25.000000     0.500000       
13.000000     26.000000     0.520000       
13.000000     27.000000     0.540000       
13.000000     28.000000     0.560000       
13.000000     29.000000     0.580000       
13.000000     30.000000     0.600000       
13.000000     31.000000     0.620000       
13.000000     32.000000     0.640000       
13.000000     33.000000     0.660000       
13.000000     34.000000     0.680000       
13.000000     35.000000     0.700000       
13.000000     36.000000     0.720000       
13.000000     37.000000     0.740000       
13.000000     38.000000     0.760000       
13.000000     39.000000     0.780000       
13.000000     40.000000     0.800000       
14.000000     0.000000      0.000000       
14.000000     1.000000      0.020000       
14.000000     2.000000      0.040000       
14.000000     3.000000      0.060000       
14.000000     4.000000      0.080000       
14.000000     5.000000      0.100000       
14.000000     6.000000      0.120000       
14.000000     7.000000      0.140000       
14.000000     8.000000      0.160000       
14.000000     9.000000      0.180000       
14.000000     10.000000     0.200000       
14.000000     11.000000     0.220000       
14.000000     12.000000     0.240000       
14.000000     13.000000     0.260000       
14.000000     14.000000     0.280000       
14.000000     15.000000     0.300000       
14.000000     16.000000     0.320000       
14.000000     17.000000     0.340000       
14.000000     18.000000     0.360000       
14.000000     19.000000     0.380000       
14.000000     20.000000     0.400000       
14.000000     21.000000     0.420000       
14.000000     22.000000     0.440000       
14.000000     23.000000     0.460000       
14.000000     24.000000     0.480000       
14.000000     25.000000     0.500000       
14.000000     26.000000     0.520000       
14.000000     27.000000     0.540000       
14.000000     28.000000     0.560000       
14.000000     29.000000     0.580000       
14.000000     30.000000     0.600000       
14.000000     31.000000     0.620000       
14.000000     32.000000     0.640000       
14.000000     33.000000     0.660000       
14.000000     34.000000     0.680000       
14.000000     35.000000     0.700000       
14.000000     36.000000     0.720000       
14.000000     37.000000     0.740000       
14.000000     38.000000     0.760000       
14.000000     39.000000     0.780000       
14.000000     40.000000     0.800000       
15.000000     0.000000      0.000000       
15.000000     1.000000      0.020000       
15.000000     2.000000      0.040000       
15.000000     3.000000      0.060000       
