       flux1               flux2            flux3               flux4 
     -0.24866965-119     0.87731565E-18     0.11111111E-01    -0.87731565E-18
     -0.60079981-116     0.65251427E-18     0.11111111E-01    -0.65251427E-18
     -0.48777493-112     0.66478708E-18     0.11111111E-01    -0.66478708E-18
     -0.23358781-102     0.67088459E-18     0.11111111E-01    -0.67088459E-18
     -0.10606576E-93     0.68748282E-18     0.11111111E-01    -0.68748282E-18
     -0.47764493E-88     0.77160884E-18     0.11111111E-01    -0.77160884E-18
     -0.53476424E-84     0.79191797E-18     0.11111111E-01    -0.79191797E-18
     -0.73487230E-81     0.64500709E-18     0.11111111E-01    -0.64500709E-18
     -0.26544091E-78     0.69984088E-18     0.11111111E-01    -0.69984088E-18
     -0.41907663E-76     0.73999327E-18     0.11111111E-01    -0.73999327E-18
     -0.50380696E-73     0.60196414E-18     0.11111111E-01    -0.60196414E-18
     -0.28514026E-66     0.74589636E-18     0.11111111E-01    -0.74589636E-18
     -0.76158086E-61     0.59613625E-18     0.11111111E-01    -0.59613625E-18
     -0.25852997E-57     0.59910065E-18     0.11111111E-01    -0.59910065E-18
     -0.91147055E-55     0.69126866E-18     0.11111111E-01    -0.69126866E-18
     -0.87479300E-53     0.63654733E-18     0.11111111E-01    -0.63654733E-18
     -0.36409709E-51     0.69415144E-18     0.11111111E-01    -0.69415144E-18
     -0.99002503E-50     0.68842765E-18     0.11111111E-01    -0.68842765E-18
     -0.37278599E-47     0.67400500E-18     0.11111111E-01    -0.67400500E-18
     -0.14262169E-42     0.63368281E-18     0.11111111E-01    -0.63368281E-18
     -0.31036847E-39     0.64681201E-18     0.11111111E-01    -0.64681201E-18
     -0.45510836E-37     0.63697616E-18     0.11111111E-01    -0.63697616E-18
     -0.16824208E-35     0.76282477E-18     0.11111111E-01    -0.76282477E-18
     -0.27910691E-34     0.61947196E-18     0.11111111E-01    -0.61947196E-18
     -0.27786673E-33     0.77045926E-18     0.11111111E-01    -0.77045926E-18
     -0.26398692E-32     0.75658776E-18     0.11111111E-01    -0.75658776E-18
     -0.44659769E-30     0.76673745E-18     0.11111111E-01    -0.76673745E-18
     -0.46122398E-27     0.71880329E-18     0.11111111E-01    -0.71880329E-18
     -0.44935626E-25     0.73421935E-18     0.11111111E-01    -0.73421935E-18
     -0.85009522E-24     0.71562658E-18     0.11111111E-01    -0.71562658E-18
     -0.70364173E-23     0.58596035E-18     0.11111111E-01    -0.58596035E-18
     -0.36154136E-22     0.74630514E-18     0.11111111E-01    -0.74630514E-18
     -0.14084070E-21     0.67116287E-18     0.11111111E-01    -0.67116287E-18
     -0.91306534E-21     0.68326079E-18     0.11111111E-01    -0.68326079E-18
     -0.71881739E-19     0.61144347E-18     0.11111111E-01    -0.61144347E-18
     -0.56460253E-17     0.61997493E-18     0.11111111E-01    -0.61997493E-18
     -0.71285452E-16     0.75415905E-18     0.11111111E-01    -0.75415905E-18
     -0.34070113E-15     0.76540854E-18     0.11111111E-01    -0.76540854E-18
     -0.10310916E-14     0.74296484E-18     0.11111111E-01    -0.74296484E-18
     -0.24199292E-14     0.72755498E-18     0.11111111E-01    -0.72755498E-18
     -0.55703900E-14     0.66373151E-18     0.11111111E-01    -0.66373151E-18
     -0.48136392E-13     0.72272004E-18     0.11111111E-01    -0.72272004E-18
     -0.13997970E-11     0.64068525E-18     0.11111111E-01    -0.64068525E-18
     -0.16703159E-10     0.18016584E-17     0.11111111E-01    -0.18016584E-17
     -0.50358515E-10     0.78789384E-18     0.11111111E-01    -0.78789384E-18
     -0.94071304E-10     0.15844648E-17     0.11111111E-01    -0.15844648E-17
     -0.14528084E-09     0.60497315E-18     0.11111111E-01    -0.60497315E-18
     -0.20574284E-09     0.67415017E-18     0.11111111E-01    -0.67415017E-18
     -0.58687423E-09     0.21301442E-17     0.11111111E-01    -0.21301442E-17
     -0.68984057E-08     0.71864896E-18     0.11111111E-01    -0.71864896E-18
     -0.65512009E-07     0.68990755E-18     0.11111111E-01    -0.68990755E-18
     -0.15863950E-06     0.15079799E-17     0.11111111E-01    -0.15079799E-17
     -0.15776141E-06     0.64523693E-18     0.11111111E-01    -0.64523693E-18
     -0.15670458E-06     0.25910050E-17     0.11111111E-01    -0.25910050E-17
     -0.15565718E-06     0.65679626E-18     0.11111111E-01    -0.65679626E-18
     -0.23648853E-06     0.72752232E-18    -0.28478392E-07    -0.72752232E-18
     -0.23790557E-05    -0.16620710E-17    -0.32100961E-07     0.16620710E-17
     -0.14812082E-04     0.68826361E-18    -0.15521108E-07    -0.68826361E-18
      0.32492123E-05     0.82571125E-18     0.19751644E-08    -0.82571125E-18
      0.88997846E-03     0.65624465E-18     0.15354462E-07    -0.65624465E-18
      0.86897948E-03     0.48688870E-18     0.23821691E-07    -0.48688870E-18
      0.78978477E-03     0.80570135E-18     0.28162315E-07    -0.80570135E-18
      0.60275988E-03     0.71404996E-18     0.29541186E-07    -0.71404996E-18
      0.93029471E-04     0.70624746E-18     0.27783544E-04    -0.70624746E-18
     -0.61012633E-03     0.61869480E-18     0.38092480E-03    -0.61869480E-18
     -0.15730829E-02     0.69279181E-18     0.31631969E-03    -0.69279181E-18
     -0.24471753E-02     0.56368697E-18     0.26363174E-03    -0.56368697E-18
     -0.33735641E-02     0.89566918E-18     0.24070508E-03    -0.89566918E-18
     -0.43172821E-02     0.82748498E-18     0.23509141E-03    -0.82748498E-18
     -0.52309959E-02     0.53075556E-18     0.22683013E-03    -0.53075556E-18
